"","NAME","Age.Group","SEX","EDU.Simplified","DEPT","CITY","HOOD","sentence","position","words","focused","tones","sentence_type","total_speakers","position_spec"
"51","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD2","PN","olor","a","L+<H*","NFD",30,"PN3"
"52","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD2","N","medialunas","FOCUSED","L+H* L%","NFD",30,"N1"
"53","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD3","PN","No",NA,"L+H*+L L-","NFD",30,"PN1"
"54","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD3","PN","se","van","L+<H*","NFD",30,"PN2"
"55","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD3","PN","vivir","a","!H*","NFD",30,"PN3"
"56","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD3","N","San","Juan","L* L%","NFD",30,"N1"
"57","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD4","PN","Es",NA,"L+H*","NFD",30,"PN1"
"58","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD4","PN","possible","que","L+<H*","NFD",30,"PN2"
"59","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD4","PN","No",NA,"deaccented","NFD",30,"PN3"
"60","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD4","PN","le","guste","deaccented","NFD",30,"PN4"
"61","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD4","N","regalo",NA,"L* L%","NFD",30,"N1"
"62","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD5","N","con","Manuel","L+H*+L L%","NFD",30,"N1"
"63","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD6","PN","Esta",NA,"L+<H*","NFD",30,"PN1"
"64","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD6","N","buenisimo","FOCUSED","L+!H* L%","NFD",30,"N1"
"65","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD1","N","Mandarinas",NA,"L* L%","BFD",30,"N"
"66","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD2","PN","Maria",NA,"L+<H*","BFD",30,"PN1"
"67","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD2","PN","esta",NA,"H+L*","BFD",30,"PN2"
"68","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD2","PN","comiendo",NA,"L+<H*","BFD",30,"PN3"
"69","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD2","N","mandarinas",NA,"L* L%","BFD",30,"N"
"70","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD4","PN","Yo",NA,"L+<H*","BFD",30,"PN1"
"71","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD4","PN","vivi",NA,"L+<H*","BFD",30,"PN2"
"72","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD4","PN","muchos",NA,"L+<H*","BFD",30,"PN3"
"73","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD4","PN","anos","en","L+<H*","BFD",30,"PN4"
"74","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","BFD4","N","San","Juan","L* L%","BFD",30,"N"
"75","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD1","PN","Senora",NA,"L+<H* L-","NFD",30,"PN1"
"76","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD1","PN","no",NA,"L+H*","NFD",30,"PN2"
"77","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD1","PN","quiero",NA,"L+<¡H*","NFD",30,"PN3"
"78","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD1","PN","limones",NA,"!H* L-","NFD",30,"PN4"
"79","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD1","PN","quiero",NA,"L+<H*","NFD",30,"PN5"
"80","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD1","N","naranjas","FOCUSED","L+H*+L L%","NFD",30,"N1"
"81","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD2","PN","Que",NA,"L+H*","NFD",30,"PN1"
"82","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD2","PN","rico",NA,"L+H*","NFD",30,"PN2"
"83","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD2","PN","olor","a","L+H*","NFD",30,"PN3"
"84","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD2","N","medialunas","FOCUSED","L+H* L%","NFD",30,"N1"
"85","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD3","PN","No",NA,"L+H*+L L-","NFD",30,"PN1"
"86","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD3","PN","se","van","L+<H*","NFD",30,"PN2"
"87","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD3","PN","vivir","a","L+H*","NFD",30,"PN3"
"88","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD3","N","San","Juan","L+H*+L L%","NFD",30,"N1"
"89","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD4","PN","Es",NA,"L+<H*","NFD",30,"PN1"
"90","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD4","PN","possible","que","L+<H*","NFD",30,"PN2"
"91","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD4","PN","No",NA,"L+H*","NFD",30,"PN3"
"92","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD4","PN","le","guste","L+¡H*","NFD",30,"PN4"
"93","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD4","N","regalo",NA,"L* L%","NFD",30,"N1"
